"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"CAVIN1",0.76,1.4,0.92,1.3,0.67,2,0.54,0.59,1.7,1.5,1.3,0.69,0.78,1.3,1,0.96,0.88,1.3,1.6,1.2,1.2,0.43,1.4,1.3,0.56,0.87,1.4,5.4e+08,0.62,0.32,1,0.89,0.89
"CAVIN2",0.99,1.4,0.95,1.2,1.4,0.94,1,1.3,0.92,0.95,0.58,1,0.79,1.8,0.82,0.85,0.79,1.2,0.64,1.1,0.65,0.48,1.1,1.1,0.83,0.8,1.4,0.43,1.4,0.68,2.2,1.4,1.1
"CAVIN3",0.72,1.2,1.1,2.1,1,1.4,0.65,0.77,1.3,0.97,0.78,1.3,0.45,1.5,1.7,1.2,1.4,1.6,0.78,0.83,1.2,0.38,0.76,2.2,0.71,0.94,1.3,2.3,1.7,0.98,1.1,0.91,4.3
"CAVIN4",3.2,1.4,1.8,1.4,0.62,1.5,1.5,1.2,1,1.2,7.4,1.1,2.2,0.63,0.74,1.7,1.1,1,2.3,0.93,1.2,2.1,1.1,1.2,1.8,1.1,1.3,1.4,2.3,0.39,0.79,0.91,0.98
"CBFA2T2",1.5,1,0.91,0.99,0.66,1.5,2.1,1.4,1.1,0.72,1,0.68,1.1,1.1,2,1.5,0.94,0.88,1.2,1.1,0.72,1.4,1.2,0.16,1.2,1,1,4.3,2.4,1.4,1.8,1.1,1.1
"CBFA2T3",0.71,1.1,1,0.88,0.58,0.53,1,0.86,1,0.71,1.2,1,1.3,1.2,0.56,0.74,0.57,1.2,1.2,1.2,0.7,1.9,2.1,0.68,0.75,0.76,1.2,1.4,1.7,0.093,1.1,0.75,1.8
"CBFB",1,1.1,0.91,0.99,0.49,0.91,1.3,1.3,1,1,0.9,0.76,1.6,1.7,1,1.7,1.1,1.3,2.6,0.98,1.3,1.2,2.6,1.1,1.7,0.93,1.4,2.9,0.54,0.35,0.76,1,2.2
"CBL",3.8,1.1,1.1,1.2,0.5,1.1,2.2,1,0.85,0.92,4.2,0.64,1.4,1.7,1.4,1.3,1.2,0.9,1.6,0.99,1,1.1,1.4,0.48,1.1,0.96,0.94,2.1,1.5,0.24,0.67,0.83,1.3
"CBLB",1.8,1,1.1,0.67,0.54,1.2,1.1,0.88,0.81,0.9,7.7,0.98,1.1,1.4,0.83,1.3,1.1,1,0.97,0.92,1.2,0.56,5.1,0.46,0.98,0.89,1.1,0.45,2.9,0.49,0.86,0.91,0.48
"CBLC",1,0.78,1,0.93,0.97,0.79,0.46,1,1.4,1.1,1.1,1.1,0.41,1,1,0.95,1.3,0.76,0.92,1.2,1.5,1,1.2,0.6,1,1.3,1,0.23,0.55,5,0.91,1.1,1
"CBLL1",1.7,1.1,1.1,1.5,0.51,0.73,1.7,0.82,1.1,0.9,3.9,0.6,1.5,1.1,1.2,1.2,1.3,0.86,1.2,1.1,1.2,4.6,1.3,0.35,0.84,1.1,0.97,0.41,2,0.85,1.1,0.84,1.1
"CBLN1",0.76,1.4,0.88,0.75,1.3,1.2,0.73,1.3,0.86,0.88,0.49,0.91,2,1,1,0.76,0.85,1.3,1.3,0.96,1.2,2.7,1.4,0.92,0.89,1,1.2,0.34,0.43,0.35,0.83,1.3,1.4
"CBLN2",1,1.2,0.86,1,0.5,0.45,0.48,1.2,0.84,0.77,1,0.64,0.64,1,0.74,1,1,0.87,0.89,0.86,0.76,0.9,0.63,0.65,1.3,1.5,1.3,2.1,0.43,0.12,1.6,0.94,2
"CBLN3",1.2,0.82,1.1,1,1.2,1.2,3.8,1,1.4,0.97,3.7,0.93,1.5,1.9,1,0.74,0.8,1.1,0.53,1,1.1,1.4,0.73,1,0.88,0.77,1.2,1.2,1.2,2.2,2.2,1.1,2
"CBLN4",0.42,1.4,1.1,1,0.78,1.4,1,1.1,1.1,1,0.75,0.94,1.9,1,1.4,1,1,1.1,1.8,0.96,0.76,0.24,1.4,2.1,1.3,0.92,1,2,0.76,0.56,0.8,0.85,1.7
"CBR1",1.6,1.2,0.88,0.86,1.4,1,1.1,1.2,1.3,0.99,0.45,0.71,1.3,2.2,1,0.87,1.2,0.75,0.82,0.96,1.4,1.3,0.95,0.42,0.85,0.85,1.1,1.3,0.55,4.8,1.5,1.4,5.6
"CBR3",1,1.1,0.9,0.76,0.68,1.3,0.68,0.95,1,0.72,3.6,1.3,1.4,0.88,1,1.2,1.3,0.84,0.63,0.86,0.99,2.1,0.75,1.8,0.82,0.88,1,1.4,0.45,4.7,0.84,1.3,1.9
"CBR4",0.53,0.84,1.1,0.89,1.3,0.94,0.61,0.58,0.94,0.91,3.8,1,0.52,0.83,0.71,0.8,1.1,1,0.6,0.92,0.79,0.62,2.6,0.47,0.81,0.88,0.93,0.4,1.1,2.6,0.84,0.61,1.7
"CBS",2,1,0.96,0.7,0.63,1,0.44,0.94,0.82,1.2,1.5,0.98,1.1,1.1,1,1.4,0.9,0.92,1,1.1,1,0.96,1.7,1.4,0.9,1.2,1.2,0.22,1,0.7,2.1,0.99,0.88
"CBWD1",4.2,0.86,1.3,0.76,0.61,1.6,1.9,0.71,0.82,1,1.1,1,0.69,0.95,1.5,1.3,0.98,1.2,1.4,0.76,0.73,0.2,0.48,0.8,0.96,0.88,0.93,0.35,0.56,1.7,0.54,1.2,1
"CBWD2",2.9,1.2,1.3,1.2,0.83,1.5,1.6,0.78,0.99,1.1,4.1,0.56,1.2,2.4,1,1.6,1,0.93,1.4,0.79,1.2,1.3,1.1,0.57,1,0.86,1,2,0.86,0.91,0.8,1.2,0.92
"CBWD3",3.1,1.3,1.1,1,0.47,1.3,0.62,0.86,1.2,1.4,3.8,0.58,0.64,1.2,1.2,1.2,0.89,1.1,1.6,1,0.95,3.8,1.6,0.31,1.5,0.81,0.93,0.43,1.8,0.78,0.63,1.1,1.7
"CBWD5",4.1,0.98,0.96,0.85,0.33,1.5,1,1.4,0.88,1.3,2,0.93,0.72,0.96,1.2,1.1,0.94,0.92,1.8,0.95,0.81,0.55,3.3,1.6,1.2,0.88,1,1,2.3,1.4,0.57,0.91,1.2
"CBX1",2.4,0.94,1.3,1,0.86,1,1.2,0.96,1,1.1,9.2,0.61,1.3,1.2,0.73,1.9,1.3,0.81,2.5,0.96,1,0.89,1.8,0.52,1.2,1.2,1.2,0.78,0.94,0.21,0.89,0.42,0.85
"CBX1P1",1,1,1,1,1,1,1,0.7,0.71,1,1,1,1,1.1,1.2,1,1,1,1,1,1,1,1,1,1,1,0.88,1,1,1,1,1,1
"CBX1P2",1,1,1,1,1,1,1,1.1,1,1,1,1,1,1.3,0.66,1,1,1,1,1,1,1,0.72,1,1,1,0.97,1,1,1,1,1.8,1
"CBX1P3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CBX1P4",0.88,1,1,1,1,1,1,1,1,1,1,1,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CBX2",1,0.99,1.4,1.1,1.6,1,0.27,1.3,1.1,1.1,3.6,0.87,1.8,0.68,1.5,1.9,1.2,0.87,1,0.77,0.62,2.9,0.97,1.4,1.2,1.2,1.1,0.33,0.22,0.24,0.75,0.74,2.5
"CBX3",4.5,0.85,1.4,1.4,0.47,1.5,0.69,1.4,0.97,1.2,9.5,0.96,1.2,0.81,1.9,1.9,1.7,0.86,1.9,0.84,2.2,5.5,1.5,0.57,1.8,0.8,0.96,0.41,0.73,0.24,1.1,0.75,2.1
"CBX3P2",0.82,1.1,0.89,0.93,0.54,0.99,1.6,0.76,1.1,0.87,0.5,1.1,0.89,1.4,0.84,1.5,1,1.2,0.53,0.84,0.67,1.9,0.51,0.4,1,0.85,1.2,0.45,2.5,0.89,1.3,1,1.6
"CBX3P3",1,1,1,1,1,1,1,1.2,1,1,1,1,1,0.79,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,1,1,1,1
"CBX3P4",1.3,1,0.97,1,0.87,1,1,1.3,0.93,1,1.2,1.4,0.87,0.66,0.85,1,1,1.1,1.4,0.84,1,1.8,4,1,0.86,0.98,1,1.5,1.4,0.48,0.82,0.7,1
