"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"A1BG",0.63,1.1,0.93,1,1.2,1.1,0.74,1.3,1,1,0.8,1.5,1.5,1.1,2,0.73,0.73,1.1,1.5,1,0.68,1.7,1.4,2,1.3,1.2,1.2,0.77,2.1,0.12,1.2,1.4,0.39
"A1CF",1,1,1,1,0.76,0.89,1,1.2,1,1,1,1,1.1,1,1,1.1,1,1,1,1,0.68,1,1,0.92,1,1,1,1.3,1,1,1,0.95,1
"A2M",1.3,1.3,0.86,0.76,1,0.97,0.34,1.5,0.95,0.83,0.84,1,0.79,1.2,1.4,0.94,0.86,1.4,1.3,1,1,0.45,0.25,1.4,0.63,0.68,1.3,3,0.86,1.5,0.88,0.86,1.9
"A2ML1",0.5,1,1.3,1,1.1,1.5,4.1,0.83,0.96,0.79,1.7,1,1,1.5,0.93,1,1.1,0.85,1,0.99,1.5,2.2,1.1,0.71,0.6,1.4,0.89,1.3,1.9,2.9,0.7,0.81,1.6
"A2MP1",0.63,0.84,1,1.2,1.3,1.4,1.2,1.2,0.87,0.7,0.38,0.93,1.4,1.6,0.88,0.94,0.85,1.2,0.82,0.84,0.89,0.83,2.1,1,0.8,0.64,1.2,0.43,0.67,0.33,0.68,0.77,1
"A3GALT2",1,1,1,0.8,1,1,1,0.87,0.79,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"A4GALT",1.2,1.2,0.88,0.5,1,1.5,0.81,0.71,1,1.1,0.3,0.65,0.68,1.2,1.7,1.2,1.4,0.83,1.5,1.1,1.1,1,0.88,1.2,0.57,0.96,1.3,5.8e+08,2.1,0.75,0.56,1.1,4.9
"A4GNT",1,0.79,1.2,1.1,1.5,1,1,0.84,0.97,0.72,1,1,0.82,0.8,1.5,1,0.81,1,1.5,0.89,1.2,1.3,1,1,0.8,0.96,0.95,0.61,1.8,1,1,1.2,1
"AAAS",1.4,1,1,0.85,0.81,0.96,1.4,1,1.1,0.98,3.8,1.3,1.1,1.5,1.1,1.6,1.3,0.93,0.84,0.83,0.67,1.2,1.1,0.52,1,1.2,1.1,3,1.4,1,0.54,0.49,1.4
"AACS",2.5,1.3,1.2,0.83,0.68,0.86,1.5,1.3,1.5,0.85,1.9,0.88,1.2,0.92,1.4,1.5,1.6,0.95,1.2,1.2,0.85,1.1,1.3,0.49,0.95,1.5,1,0.84,1.8,1,0.96,0.87,5.8
"AACSP1",1,0.97,1.2,0.67,0.59,1,1,1.1,0.98,0.76,1,0.87,0.63,1,0.95,1,0.93,1.1,0.71,1.2,0.94,3.3,2.8,1,1,0.76,1.1,0.57,1,1.2,1.3,1.3,1
"AADAC",0.87,0.91,0.94,1.3,1,1.1,1,1,1,1,1,1,1,1,1,0.83,1,0.93,0.77,1,1.5,0.58,1,0.96,0.88,1,1.4,5.3e+08,1,1,0.84,2.1,1
"AADACL2",1,1,1,0.62,1,1,1,0.75,1,0.94,1,1,1,1,1,1,1,0.72,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1
"AADACL3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1
"AADACL4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8,1,1,1,1,1,1,1,1.3,2.1,1
"AADACP1",1.1,1.1,0.71,0.92,1.3,1.3,1,1.2,1.3,1.1,6.8,0.89,1,1.4,1.2,0.67,1,0.81,0.66,0.86,1,1.1,1.3,0.5,1,0.93,1,1.4,1.1,0.73,1,1.1,0.52
"AADAT",1.7,0.77,1.1,0.84,1.4,0.57,1,1.1,0.98,0.95,1.4,0.66,0.89,1.9,1,0.91,0.95,0.93,2.1,0.86,0.82,0.57,0.53,0.43,1.4,0.95,1.2,1.4,5.3,0.9,1.1,0.82,2
"AAED1",4.7,1.3,1.4,0.94,0.7,1.6,0.85,0.85,0.96,1.3,0.53,1,1.4,1.4,1,1.3,0.98,1.5,1.2,1.1,0.85,0.62,0.48,1.6,0.82,1.1,1.1,1.3,2.4,1.7,1.1,1.4,1.6
"AAGAB",2.1,1.2,1.4,0.96,1.4,1.2,1.7,1.1,1.2,1.1,3.6,0.71,0.89,1.9,1.7,1.2,1.5,1,1,0.9,1.1,1.4,1.5,0.52,0.89,0.99,0.9,1,1.7,0.25,0.62,1.2,1.7
"AAK1",0.95,1.1,1.5,0.85,0.77,0.98,0.95,0.97,1,1.1,4.1,0.72,0.85,0.61,1.5,1.1,0.88,0.91,1.5,1,0.9,5.3,2,0.35,1.1,1.1,1.2,1.4,2.5,0.96,1.7,1.1,3.9
"AAMDC",2.6,1.1,0.91,0.87,1.2,0.92,0.44,0.97,1.4,0.89,9.3,0.7,0.81,0.97,0.67,1.3,0.99,1.2,0.71,0.89,1.4,0.2,1.8,0.45,0.98,1.1,1.1,3.1,0.91,0.61,1.2,0.96,0.53
"AAMP",3.1,0.84,1.1,0.82,1.3,1.1,0.5,1.1,1.4,0.95,4,1,0.96,1.5,0.91,1.8,1.4,1,0.64,0.98,1.3,1.5,1.6,0.78,0.9,1.3,0.69,0.48,0.76,2.2,1.1,0.75,1
"AANAT",1.2,0.97,0.86,1,1.9,1.2,0.74,0.98,1.2,0.91,2.8,1.3,1.1,1.3,1.8,1.3,1.2,1.2,1.3,0.96,0.73,0.58,1.4,0.93,1,1.1,1.1,1,1.8,5.7e+08,1.1,1.1,0.27
"AAR2",3.6,1.1,1.2,1.1,0.76,0.95,1.3,0.95,1.1,1.3,1.9,0.63,1.1,1.1,1.2,1.8,1,1,1.1,1.1,0.95,1,1.5,0.25,0.9,1.3,0.92,2.9,1.2,0.26,1.1,0.77,0.65
"AARD",1.4,1.7,0.99,1.1,1,1,1.9,0.86,1.4,0.91,2.3,1,1.3,1,1,1,0.86,0.99,1.4,1.1,0.8,1,0.79,1.5,0.97,0.6,1.2,1,1,0.17,1.4,1.1,0.59
"AARS",1.6,1.3,1.2,1.4,1.1,1,0.77,0.82,0.92,1.2,0.86,0.85,1.9,1.2,0.61,1.2,1.2,1.1,0.95,0.99,1,1.8,0.88,0.77,1.1,1.2,1.1,2.7,1.7,0.45,1.8,1.5,2.7
"AARS2",1.7,1.1,1.2,1.4,1.5,0.98,1.2,1.1,1.1,0.93,3.9,0.66,0.84,1.3,1.2,1.5,0.97,0.88,0.92,1,0.72,2.1,1.3,0.43,1.7,1.2,1.1,1,1.8,0.49,1.1,0.84,0.75
"AARSD1",2.8,1.3,1,1,1.3,0.99,0.32,0.69,0.96,1,1.3,0.97,0.98,0.9,0.98,1.2,1,0.87,1.6,1.2,0.54,0.19,2.8,0.17,1,1.1,1.3,0.75,0.83,0.35,0.73,0.91,7.7
"AASDH",1,0.79,1.3,0.97,0.88,0.95,2.2,0.9,0.76,0.98,1.9,0.6,0.69,1.1,1.2,1.3,1,1,0.75,1.1,0.85,2.1,0.91,0.53,1,0.94,0.89,0.35,1.4,1.1,0.55,0.78,1.3
"AASDHPPT",1.2,1.1,1.4,1.1,0.5,0.91,1.2,0.73,0.84,1.2,2,1,0.65,1.3,0.86,1.2,1.3,0.98,0.88,0.92,0.92,5.8,1.6,0.47,1.8,0.91,1,2,1.2,1.3,0.78,0.67,0.69
"AASS",1.2,1.2,0.93,1.1,0.91,1.9,0.97,0.72,0.76,0.83,0.54,0.76,0.7,1.1,1.7,0.7,0.87,0.96,0.96,1.1,1.1,0.59,0.89,1,1.2,0.78,1.2,2.1,1.2,2,0.99,1.1,4.1
"AATBC",1.4,0.7,1,0.71,1,1.3,0.63,0.91,1.2,0.65,1.5,1.5,1.1,1.2,1.8,1.2,0.67,0.82,1.3,1.1,1.1,0.6,1.2,0.8,0.8,1.3,1,5.6e+08,1.4,1.9,0.56,0.84,3.3
"AATF",4.1,1.2,0.88,0.72,2.5,0.83,0.55,1.7,0.92,1.4,4.7,0.93,2.2,1.1,1.1,1.6,1.4,1,2.4,1.1,1.5,0.56,0.84,0.67,1.1,1.2,0.86,0.32,2.7,0.33,1.6,1,1.2
"AATK",4.2,1,0.78,1.3,0.63,1.2,2.2,0.79,1.1,1.1,1.3,0.92,1.4,0.98,0.96,1.1,0.88,1.1,1.1,1.1,0.76,0.59,1.3,1.3,1.2,1.1,0.71,6e+08,1,1.3,1.5,1.3,1.9
"ABALON",1.1,1,0.83,1.1,0.55,0.96,2.2,1.1,0.87,0.99,0.83,0.79,0.91,1.1,0.96,1.5,1.3,1.4,0.94,1,1.6,0.98,1.8,0.5,1.1,0.94,0.81,0.23,0.65,0.39,1.1,0.71,3.6
"ABAT",0.39,0.97,0.82,1.2,0.81,0.7,1.3,0.76,1.1,0.98,0.66,0.55,0.51,1.2,0.65,0.58,0.6,1.1,0.63,0.93,0.75,0.59,1.8,0.53,0.92,0.77,0.96,0.43,1.4,0.94,0.98,1.3,1.7
"ABCA1",0.8,0.97,1.2,1.2,0.65,1.3,1.1,0.96,1.2,1,3.6,0.57,0.72,0.79,1.6,1.2,0.94,1.3,0.99,1.1,0.9,2.6,2.5,1.2,0.87,0.75,1.5,3.2,0.73,1.6,1.1,1.4,1
"ABCA10",1.5,0.75,0.77,1.2,0.73,0.97,2.4,1.2,1.2,0.75,0.47,1.6,0.62,1.6,1.7,0.79,0.85,1.1,0.88,1.1,0.7,0.83,2.5,1.5,0.99,0.82,1.1,0.46,2.9,5.5e+08,1.4,1.2,1.9
"ABCA11P",0.72,1.2,0.92,1.2,0.88,1.2,2.1,0.82,1.1,0.76,1.3,1.1,1,1.2,1.2,1.1,0.92,0.88,1.9,0.99,0.7,1.1,2.5,0.69,1.3,1,0.82,1.3,2.5,0.72,0.62,0.9,1.5
"ABCA12",1,1.1,1.3,0.82,0.74,0.59,1,1.4,1.1,1,0.78,0.78,2.8,1.2,1,1,1.2,1.1,1.1,1,1.7,4.6e+08,0.46,1.1,1.2,1.6,0.68,1,0.75,1.5,1.2,0.95,0.2
"ABCA13",1.5,1.1,0.89,0.73,3,1.1,1,0.97,1.4,0.79,0.93,1.3,1,0.55,1,1.2,0.96,0.8,0.77,0.72,0.9,1,0.58,0.55,1.1,0.94,1,0.34,1.3,2.4,0.99,0.86,4.9
"ABCA17P",0.59,0.95,0.9,0.55,1.7,1.6,0.28,1.2,1.1,0.89,1.9,1.3,1.8,1,0.56,1.2,0.78,1,1.7,1.1,0.63,1.2,0.46,2.2,0.83,0.81,1.2,1,1.5,4.4,1.3,1,0.22
"ABCA2",2.6,1.1,1.3,0.59,0.98,1.8,1.6,0.89,1.1,0.97,0.11,1.1,1.1,1.5,1.1,1.3,0.73,1.3,1.3,0.97,0.91,0.68,1.9,0.78,0.84,0.8,0.75,2.9,0.54,2.4,1.4,1.9,2.8
"ABCA3",1,1.1,0.88,0.73,0.47,1.2,0.96,1,1,1,0.57,0.85,0.79,0.87,0.56,1,0.68,1.4,1.3,1.2,0.72,1.1,2,1.7,0.76,1,1.5,0.55,1.2,2.6,1.5,1.4,0.18
"ABCA4",1.2,1.5,1,0.95,1.2,0.86,1.1,0.95,1,1,3.3,1.6,1.8,1,1.3,1.1,1.1,0.93,1.1,0.97,1.1,0.47,1.3,0.44,1.1,1.2,1,0.8,0.67,0.64,1.5,1.1,2
"ABCA5",1.1,0.94,0.89,0.86,1.5,0.62,1.1,1.1,1.5,0.89,3.6,0.67,0.54,1.3,1,0.85,0.73,0.72,0.76,0.95,0.5,1.1,2.9,1.1,0.8,0.77,0.97,0.45,0.52,3.6,1,1,1.5
"ABCA6",1.3,0.97,0.92,0.9,0.74,1.5,1.3,0.91,1.2,0.75,2.7,1.1,1.2,1.4,1.9,0.7,0.79,1.2,0.8,1.1,0.76,0.57,0.68,1.1,0.85,0.72,1.4,5.8e+08,1.5,1.8,0.88,1.6,1.7
"ABCA7",1.9,0.95,1.2,0.87,2.1,2.1,1.1,0.58,1.2,0.81,1.3,1.7,0.87,1.9,1.8,1.1,0.87,1,0.76,1.1,0.96,0.36,3.2,2.1,0.66,1.1,0.83,1.3,2,0.28,1.1,1.6,4.3
"ABCA8",0.5,1.2,0.79,1.1,1.1,0.92,2.7,1.2,1.1,0.84,1.6,0.71,0.72,0.87,1.4,0.77,0.73,1.1,0.82,1,0.61,1.2,0.48,0.89,1.1,0.69,1.7,0.68,1.6,1.2,1.2,1,1.5
"ABCA9",1.6,0.81,0.86,0.9,0.52,1.5,1.2,0.91,1.1,0.7,5.2,1.3,1.2,1.5,1.1,0.62,0.82,1.1,0.58,1.2,0.79,0.51,1.1,1,0.8,0.82,1.5,1.3,2,3.1,0.99,1.6,0.76
"ABCB1",1.8,0.95,0.84,0.6,1.5,0.82,1.8,1.1,0.92,0.8,1.3,1,1,1.6,1.2,1.1,0.69,0.94,0.68,1.1,0.56,0.55,1.2,1.7,0.54,1,1.2,2.1,1.4,1.8,0.55,1.5,0.88
"ABCB10",3.1,1.3,1.2,1.7,0.52,0.73,3.9,1.2,1,0.68,1.4,0.57,1.1,0.85,1.1,1.1,1.4,0.87,1.6,0.97,0.88,6.1e+08,1.2,0.49,1.1,0.98,1,0.77,2.7,3.2,0.82,0.83,2
"ABCB10P1",1,1,1,1,1,1,1,1,1,1,1,0.78,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1.9,1,1,1,1,1
"ABCB10P3",1,1,1.1,1,1,1,1,1,1,1,2,0.91,1,1,0.94,1,1,1,1,1,1,1,1,1,1.7,1,1,1,1,1,1.1,1,1
"ABCB10P4",1,1,0.95,1,1,1,1,1,1,1,1,0.82,1,1,1,1,1,0.89,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1
"ABCB11",1,0.87,1.1,1.1,0.99,1,1,0.91,1.1,0.95,1,1,1,1.2,2,0.66,1.3,1.1,1,0.97,1.4,1,1.4,1.1,1,0.8,1.2,1,1,1,1,0.84,1
"ABCB4",3.9,0.77,0.9,0.69,2.3,1.3,2.1,1.2,1,0.76,0.8,0.77,1.5,1.1,1.9,0.86,1.2,1,1.1,1.1,0.49,0.6,1.3,1.6,0.74,0.87,1.1,0.38,1.4,0.6,0.7,0.7,6.4
"ABCB5",1.3,1.4,0.92,1.3,0.45,1.3,1,0.83,1.2,1.3,2.5,1.1,1.2,0.98,1,1.5,0.95,1,0.65,1.2,0.85,1,4,1.6,0.79,1.2,1.7,0.44,1,1,0.99,0.87,0.94
"ABCB6",1,1,1.2,0.79,1.4,1.3,0.55,1,1.1,1,3.8,0.96,2.8,1.3,0.72,1.8,1.3,0.95,1.1,1.1,0.81,0.37,3.6,2,1,1.5,0.91,0.22,1.7,1.9,0.91,0.71,1
"ABCB7",1.2,1.1,1.2,1.2,1.1,0.98,2.2,1.4,0.64,1.1,3,1,1.3,1.1,1.4,1.1,0.93,0.93,0.62,1.1,1.1,0.91,1.7,0.57,1.2,0.9,1.1,2.2,1.4,0.71,1.5,1.1,2
"ABCB8",2.3,1.3,1.3,0.81,0.86,0.99,1,1.2,1.3,0.87,4.9,1.3,0.6,1.5,1.9,1.2,1.1,1.1,1.2,0.98,0.71,0.66,0.64,0.79,1.1,1.4,1,2.4,2.6,0.22,1.3,1,1
"ABCB9",1.5,1.5,1.6,0.76,1.4,0.92,6.5,1.1,1.2,0.99,2.1,1.3,1.5,1.4,1.6,1.3,1,1,1.1,0.95,0.92,5.9,1.7,1,1.2,1.1,1,1.1,3.2,4,1.4,0.88,5.1
"ABCC1",1.4,1.4,0.97,1.1,0.65,0.82,0.71,0.77,1,1.1,2.2,0.93,1.8,1.2,1.8,1.8,1,0.88,2.1,1.1,1.3,0.98,0.75,0.78,0.97,1.3,1.2,2,2.9,0.18,0.62,2,2.5
"ABCC10",4.6,0.96,0.96,0.88,1.4,1.6,0.9,1.4,1.1,0.93,1.4,1,0.68,1.3,1.6,1.5,1,0.84,1.4,1,1.1,0.46,0.82,1.8,1.3,1.2,1.1,0.44,1.6,0.46,1,1.3,0.98
"ABCC11",1.4,0.76,1.2,1.3,2,0.82,1.6,0.77,1.2,0.93,3,0.89,1.5,1,0.7,1,1.6,1.2,0.65,0.91,0.96,0.92,1,0.33,1.1,0.99,1.1,1,0.58,1,0.67,0.59,0.87
"ABCC12",1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1.2,1,0.67,1,1,1,1,1,2.4,1,1,1,1,0.45,1,1,0.83,0.62,1.4
"ABCC13",1,1,1.1,1,1,1.2,1,1.1,1,1,1,1,1,0.76,1,1,0.98,1,1,0.85,1.4,1,1,0.65,1,1,0.89,3,1.1,0.94,1,0.55,1
"ABCC2",1.4,0.81,1.3,1.1,1,1.3,2.1,1.3,0.76,0.9,1.5,0.83,1.8,1,1.1,1,1.4,0.97,0.78,1,0.83,2,3.2,1.7,0.99,1.6,0.86,1,2.4,0.12,0.89,1.2,1.2
"ABCC3",1.4,0.7,0.9,1.3,0.94,1.1,0.12,0.92,1.2,1.3,0.99,1.2,1.9,1.3,1,1.2,1.1,1.3,1.6,1.1,1.5,0.53,2.5,0.65,0.78,0.77,1,5.7e+08,0.55,1.3,1,0.73,4.4
"ABCC4",1.9,0.87,1.1,0.65,0.56,0.73,1,1.5,0.84,0.92,1.3,1,0.53,0.81,1.1,1.6,0.82,0.92,2.1,0.98,0.99,1.5,4.3,1.1,0.96,1,1.1,0.56,1.4,1.2,1.2,1,5.8
"ABCC5",1,0.99,1.2,0.84,0.59,1.1,1.3,1,0.86,0.88,1.1,1.3,1.5,1.4,0.84,1,0.99,0.77,1.6,1,0.67,2.6,12,0.82,1.2,1.3,1.1,1.1,1.1,1.3,1.2,1.3,0.37
"ABCC6",1.1,1.3,1.1,0.8,0.41,0.77,6.6,1.3,1,0.93,4.3,0.63,0.54,0.71,0.9,0.83,0.65,1.3,0.65,0.85,1,1,0.33,0.93,0.85,1,0.87,2.2,0.69,3.8,2.6,0.62,1.2
"ABCC6P1",1,1.1,0.98,1.3,0.74,0.82,1.9,1.2,1.1,1.3,1.8,0.79,0.46,0.94,1,0.64,0.66,1.1,0.67,0.87,1.2,1,1.5,0.54,0.74,1,1.1,2.1,1.1,2,2.5,0.75,0.28
"ABCC6P2",2.8,1.1,0.99,1.1,1.5,0.71,1,0.95,0.92,0.97,1.3,0.58,0.54,1,0.81,0.92,1,1.2,0.93,0.98,0.98,0.52,0.69,0.58,0.86,0.83,1.4,1.3,0.87,1.9,2.7,0.85,0.28
"ABCC8",0.95,0.95,0.88,0.9,2.2,0.74,1.8,0.98,0.76,1,1.1,1.2,1.1,0.93,1,1.3,0.71,1,1.2,1.2,0.63,0.58,0.8,0.96,1,0.89,1.2,1,0.86,0.27,0.93,2,1.4
"ABCC9",1.5,1,1.1,1.3,0.94,1.3,1.6,1.1,1.1,0.89,3.2,0.73,2,0.59,0.8,0.86,0.89,1.5,1.4,1,0.84,0.43,0.77,1.7,0.66,1.1,1.5,5.8e+08,3.2,0.5,1.9,1.4,2.1
"ABCD1",1.3,0.88,1.4,0.79,1.7,1.2,1.5,1.1,1.4,1.1,1.7,0.97,1,1.8,1,1.2,1.3,1.1,1.2,0.97,1.1,0.95,1.8,1.7,0.67,1,0.88,3,2.9,8.3,2,1.1,1.3
"ABCD2",1.3,0.9,0.72,0.61,0.64,0.99,1.8,1.2,0.91,0.64,3,0.75,1.3,2.1,1.5,0.77,0.69,1.1,0.79,0.82,0.62,0.66,0.89,1.2,0.57,1,1.2,2.1,1.4,6.8,0.59,0.91,4.1
"ABCD3",1.8,0.97,0.99,0.91,1,0.64,0.81,1,1.1,0.87,3.6,1,0.56,1.2,1.5,1.1,0.98,1,1.4,0.95,0.92,4.1,1.2,0.43,1.3,1.3,0.95,1,1.2,0.45,1.1,1.1,1.3
"ABCD4",3.8,0.73,1,1.1,1.3,1.4,0.49,0.81,1.1,0.96,0.93,0.86,0.8,1.2,1.1,0.98,0.89,1,0.93,1.1,0.5,0.98,4.3,0.45,0.97,1.1,0.97,1,0.73,0.25,0.5,0.82,1.7
"ABCE1",2,1.1,1.5,1.8,0.61,0.56,1.2,0.77,1,1.3,8.8,0.67,1.5,1.5,1.5,1.5,1.4,0.96,2,0.96,1.6,1.4,2.6,0.42,1.2,1.1,1,0.44,2.2,0.83,0.75,0.97,1.2
"ABCF1",1.3,1.4,1.3,1.4,1.9,0.8,1.3,0.9,0.78,1.1,3.8,0.56,0.93,0.97,1.2,1.4,1.2,1.2,1.3,1.1,1.1,2.1,0.71,0.49,1.4,1.4,1,0.93,2.9,0.33,0.94,0.92,0.74
"ABCF2",1.6,1.3,1.2,1.3,1.1,1.1,0.69,0.83,1.2,1.1,6.6e+08,0.74,0.94,0.79,1.5,1.5,1.3,1,1.5,0.98,0.91,0.51,1.7,0.85,1.2,1.3,0.89,1.9,1.9,0.86,0.87,1.8,2.3
"ABCF2",1.6,1.3,1.2,1.3,1.1,1.1,0.69,0.83,1.2,1.1,6.6e+08,0.74,0.94,0.79,1.5,1.5,1.3,1,1.5,0.98,0.91,0.51,1.7,0.85,1.2,1.3,0.89,1.9,1.9,0.86,0.87,1.8,2.3
"ABCF2P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCF3",1.1,0.89,1.4,0.98,0.95,1.2,0.32,1,1.1,1,3.5,1.2,0.84,1.2,1.1,1,1.1,0.8,0.88,1,1,1.4,1.4,0.77,1.3,1.1,0.99,1.1,0.93,2,1.5,1.5,0.38
"ABCG1",1.2,0.82,1,0.87,0.92,1,1.2,1,0.99,0.96,1.3,1,0.52,2.1,0.73,1.1,1.1,1,0.75,1.3,0.64,2.6,1.6,0.69,0.84,0.68,1.2,9.3e+08,1.8,0.73,0.86,1.1,0.56
"ABCG2",0.58,1.1,1.3,0.81,0.96,1.1,1.7,1.1,0.71,1.1,0.43,1,0.84,1,0.98,0.89,1.1,0.94,0.93,1.1,0.73,2.5,0.63,0.99,0.95,1.1,1.2,2.8,1,0.3,1.2,1.1,1.7
"ABCG4",0.8,1.3,1.3,1.6,0.77,1.5,0.3,0.84,1.1,0.96,0.86,0.73,0.86,1,0.97,1.1,0.92,1.3,2.2,1.1,0.81,4.7,0.76,0.58,0.93,1.3,1.5,0.47,0.6,1,1.8,1.1,3
"ABCG5",1.7,0.75,1,0.61,1.4,1.1,2.3,1.1,0.92,1.4,2.2,1,0.64,0.61,1,0.72,0.89,0.82,0.53,0.74,0.73,1.1,0.34,0.98,0.61,1.1,1.1,0.69,0.76,1.1,1.2,0.79,1.4
"ABCG8",1,1,1.2,1,1.5,0.91,1,1.2,1,1,1,1.1,0.59,1.1,0.73,0.74,1,1,1,0.88,0.92,5,1,0.95,1,1,1.5,0.84,1,1,1,0.88,1
"ABHD1",1.4,1.3,0.71,1.7,2.3,1.5,0.94,1.1,1.5,1,0.58,0.73,0.58,1.1,1.2,1.1,0.94,0.92,1.9,0.98,0.66,0.2,0.91,3.1,0.66,0.93,1.2,0.41,1.1,1,1.2,1,2.6
"ABHD10",0.58,0.81,1.2,0.76,1.4,0.93,0.68,1.1,0.78,0.96,7.4,1,0.83,1,0.67,0.96,1.3,0.93,1.4,1,1.1,0.92,1.7,0.46,1.3,0.79,0.77,0.46,1.1,0.44,0.66,0.98,1.1
"ABHD11",0.65,0.91,1.1,0.61,0.46,0.78,0.092,1.2,1.6,1.1,1.9,0.87,0.49,1.8,1.8,1,1.1,0.94,1.2,1.1,1.2,0.89,1,2,0.74,1,0.76,0.23,0.74,3.5,1.6,0.84,1
"ABHD12",0.59,1.1,1.5,0.66,0.93,0.85,0.3,0.97,1.2,0.91,2.5,0.64,0.84,1.4,1.2,1.6,1,1.3,1.4,1.2,0.8,0.63,0.53,1.3,1.1,1,1.1,1.1,0.72,0.76,1.3,0.86,3.7
"ABHD12B",1,1.2,0.83,1.2,0.63,1.5,1,1.1,0.9,1.1,1,0.72,1.3,0.86,1.1,0.93,1,1.1,0.62,1.2,0.87,1.9,0.41,1.1,1.3,1,1.2,0.43,1.7,0.4,0.84,0.77,0.71
"ABHD13",2,0.98,1.1,0.86,1.2,0.78,2.3,1.5,0.87,1,1.3,0.61,0.79,0.91,1.1,1.2,0.97,1.2,0.93,1.1,1.2,4.5,1.2,0.79,1.3,0.83,0.99,0.42,1,0.27,0.45,1.5,1.1
"ABHD14A",1,0.85,0.7,0.88,2.3,0.85,0.5,0.78,0.99,0.84,7.3,0.93,0.38,1,1,1.1,0.77,1.1,0.82,0.88,0.52,0.17,0.52,3.1,1.2,1.3,1.3,1.3,1,1.2,2.2,1.8,1.6
"ABHD14B",0.4,1,0.87,0.59,1.2,1.2,1.7,1,1.3,0.77,0.78,0.61,0.4,1.5,1.7,0.9,0.77,1,0.7,1,0.81,0.2,0.77,1.3,0.76,1.4,1.1,0.43,1.9,0.95,0.61,1.8,0.49
"ABHD15",1.1,0.99,1.1,0.75,0.73,0.96,3.1,1.1,0.99,0.93,0.98,0.8,0.72,1.1,1,0.96,1.1,0.94,0.81,1.1,0.64,0.48,0.28,1,1,0.99,1.1,2.3,0.97,2,0.76,1.4,5.4
"ABHD16A",1.7,0.86,0.92,0.96,1.1,0.99,1.2,1.3,1.4,1,1.4,0.89,0.65,1.5,1.2,1.1,0.83,0.95,0.74,0.81,0.57,1.5,0.86,0.53,0.73,1,0.9,0.47,0.78,0.37,0.85,1.5,2.4
"ABHD16B",1.2,1,1,1,1,1,0.43,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.96,1,1
"ABHD17A",1,0.83,0.95,1.1,1.7,1,3,0.79,1.1,0.8,0.84,1.1,0.9,1.5,1.4,1.2,0.93,0.9,1.4,1.1,0.56,1,7.6,1,0.8,0.89,1,1.1,1.5,1.3,0.68,0.92,0.81
"ABHD17AP1",3,1.1,1.3,0.95,0.48,0.92,1.3,0.97,1.1,0.99,0.71,0.95,1.2,0.87,1.1,1.2,0.87,0.79,1.7,0.94,1,1.4,2.1,0.82,1,0.96,1.1,4.2,1.2,0.62,1.2,0.93,1.2
"ABHD17AP3",1.9,0.92,1,0.78,0.46,1.1,2.4,1,1.1,0.95,0.57,1.2,2.1,1,1.4,1,0.9,1.1,1.3,1.1,0.74,2,0.86,0.94,1,0.88,1.2,0.94,1.2,1.2,1.2,0.54,0.41
"ABHD17AP4",1,0.8,1,0.77,1,1,1.9,1.2,1,1,0.86,1,1,0.67,1.1,1,0.89,0.93,1,0.84,1,6.1,0.24,1,0.91,0.97,1,1,2.4,0.44,0.97,1.1,1.4
"ABHD17AP5",1,1,1,1,1,1,2.9,0.78,1,0.95,0.33,0.88,1,1.2,1,1,0.72,0.84,1,0.83,1,2.2,1,1,1,1.1,1.3,1.1e+09,0.65,0.51,1.2,0.87,1
"ABHD17AP6",0.86,1,1.1,1,1,1,2,0.85,1.3,1.1,0.65,0.91,1,1,1,1,0.95,0.87,1,0.85,1,1.5,0.49,1,0.57,1.1,1.4,2.2,0.7,0.41,1,0.74,1.5
"ABHD17B",3.8,0.91,1.1,0.77,0.45,0.63,2.3,1.3,0.86,0.91,1.2,1,0.88,0.72,1.1,1.4,1,0.92,1.7,1.1,0.95,1.1,2.7,0.74,1.4,0.95,0.85,2.2,2.4,0.21,0.52,1.4,0.68
