"Gene","ACC_survival_p","BLCA_survival_p","BRCA_survival_p","CESC_survival_p","CHOL_survival_p","COAD_survival_p","DLBC_survival_p","ESCA_survival_p","GBM_survival_p","HNSC_survival_p","KICH_survival_p","KIRC_survival_p","KIRP_survival_p","LAML_survival_p","LGG_survival_p","LIHC_survival_p","LUAD_survival_p","LUSC_survival_p","MESO_survival_p","OV_survival_p","PAAD_survival_p","PCPG_survival_p","PRAD_survival_p","READ_survival_p","SARC_survival_p","SKCM_survival_p","STAD_survival_p","TGCT_survival_p","THCA_survival_p","THYM_survival_p","UCEC_survival_p","UCS_survival_p","UVM_survival_p"
"SLC22A4",0.13,0.77,0.51,0.79,0.48,0.85,0.85,0.94,0.11,0.41,0.29,1,0.4,0.092,0.26,0.067,0.78,0.93,0.33,0.68,0.031,0.88,0.54,0.065,0.13,0.0022,0.026,0.06,0.93,0.29,0.38,1,0.0011
"SLC22A5",0.42,0.11,0.86,0.2,0.26,0.48,0.27,0.8,0.15,0.78,0.87,0.0011,0.19,0.02,0.4,0.051,0.54,0.69,0.029,0.97,0.19,0.14,0.23,0.24,0.16,0.95,0.16,0.081,0.19,0.35,0.34,0.42,0.38
"SLC22A6",1,1,1,1,1,1,1,1,0.59,1,0.13,1,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SLC22A7",1,1,1,1,0.73,1,1,0.24,0.88,1,0.65,0.00045,0.023,0.44,0.57,0.0056,1,1,1,0.43,1,0.86,0.35,1,1,1,0.23,0.55,1,0.44,1,0.22,1
"SLC22A8",1,1,1,1,1,1,1,1,1,1,0.31,1,0.77,1,0.003,1,1,1,1,1,1,1,1,1,1,1,1,0.33,1,1,1,1,0.67
"SLC22A9",1,1,1,1,0.19,1,1,0.3,1,1,1,0.0024,0.31,1,0.047,0.97,1,0.69,1,1,0.057,1,1,1,1,1,0.92,1,1,1,1,1,0.0013
"SLC23A1",0.2,0.35,0.47,0.32,0.33,0.16,0.56,0.5,0.81,0.018,0.011,0.074,0.67,0.5,0.62,0.98,0.3,0.33,0.84,0.85,0.57,0.72,0.38,0.47,0.042,0.26,0.31,0.2,0.3,0.017,0.91,0.98,0.55
"SLC23A2",0.05,0.0034,0.3,0.079,0.69,0.37,0.65,0.025,0.69,0.27,0.12,0.0018,0.31,0.77,0.046,0.0077,0.88,0.14,0.21,0.2,0.0031,0.38,0.78,0.44,0.7,0.35,0.57,0.3,0.091,0.86,0.79,0.47,0.083
"SLC23A3",0.0057,0.15,0.55,0.51,0.52,0.78,0.83,0.35,0.81,0.18,0.81,0.00015,0.055,0.88,0.011,0.49,0.88,0.76,0.0072,0.61,0.68,0.12,0.027,0.18,0.79,0.57,0.14,0.4,0.11,0.16,0.016,0.52,0.82
"SLC24A1",0.12,0.23,0.28,0.08,0.81,0.42,0.096,0.71,0.58,0.56,0.0088,0.003,0.81,0.007,0.0042,0.3,0.24,0.86,0.15,0.68,0.46,0.014,0.13,0.9,0.41,0.42,0.95,0.48,0.15,0.69,0.14,0.92,0.42
"SLC24A2",0.54,0.059,0.93,0.2,0.36,0.98,1,0.4,0.62,0.21,0.45,1,1,1,0.19,1,0.27,0.31,0.21,0.65,0.18,0.25,0.42,0.94,0.41,1,0.097,0.96,0.0028,0.34,0.72,0.28,0.6
"SLC24A3",0.9,0.014,0.33,0.12,0.5,0.45,0.18,0.42,0.61,0.69,0.35,0.8,0.22,0.0025,0.013,0.45,0.17,0.16,0.074,0.29,0.37,0.6,0.084,0.88,0.0094,0.81,0.21,0.75,0.016,0.71,0.68,0.68,0.14
"SLC24A4",0.062,0.14,0.96,0.92,0.24,0.9,0.5,0.77,0.73,0.19,0.75,0.0037,0.81,0.6,0.0063,0.64,0.055,0.19,0.36,0.85,0.13,0.94,0.68,0.58,0.051,0.086,0.45,0.92,0.75,0.45,0.023,0.73,0.51
"SLC24A5",0.22,1,1,1,1,1,1,1,0.43,1,1,0.048,0.64,1,0.0017,1,1,1,0.47,0.18,1,0.92,1,1,1,0.03,1,1,1,1,0.44,0.55,0.33
"SLC25A1",0.0044,0.69,0.07,0.8,0.74,0.11,0.23,0.8,0.49,0.13,0.43,0.54,0.58,0.021,0.0083,0.88,0.0026,0.73,0.56,0.54,0.31,0.41,0.73,0.85,0.21,0.12,0.5,0.81,0.03,0.97,0.63,0.58,0.19
"SLC25A10",0.67,0.44,0.54,0.59,0.33,0.23,0.37,0.95,0.011,0.0049,0.037,0.038,0.59,0.49,1,0.54,0.25,0.9,0.028,0.48,0.38,0.84,0.17,0.96,0.11,0.013,0.4,0.77,0.29,0.45,0.68,0.89,0.041
"SLC25A11",0.97,0.03,0.026,0.64,0.05,0.57,0.95,0.7,0.8,0.78,0.015,1,0.0015,0.65,0.92,0.42,0.36,0.81,0.18,0.92,0.00021,0.59,0.68,0.43,0.0046,0.038,0.22,0.52,0.17,0.46,0.27,0.56,0.13
"SLC25A12",0.83,0.86,0.47,0.58,0.29,0.69,0.23,0.68,0.82,0.18,0.57,0.00024,0.19,0.11,0.57,0.39,0.97,0.2,0.19,0.13,0.28,0.55,0.27,0.71,0.19,0.0067,0.17,0.49,0.045,0.14,0.23,0.36,0.56
"SLC25A13",0.17,0.5,0.032,0.43,0.9,0.24,0.98,0.2,0.94,0.96,0.04,1,0.66,0.7,1,0.15,0.54,0.49,0.12,0.71,0.35,0.36,0.28,0.71,0.08,0.00011,0.27,0.52,0.79,0.18,0.57,0.12,0.088
"SLC25A14",0.41,0.067,0.0048,0.066,0.33,0.07,0.64,0.092,0.35,0.05,0.016,0.31,0.42,0.66,0.11,0.021,0.5,0.89,0.049,0.44,0.015,0.21,0.053,0.31,0.95,0.36,0.18,0.68,0.42,0.022,0.5,0.26,0.85
"SLC25A14P1",1,1,1,1,0.33,1,1,0.34,0.25,1,1,0.65,1,0.32,0.64,1,1,1,1,0.23,1,1,1,1,1,1,0.26,1,1,0.51,1,1,1
"SLC25A15",0.0056,0.03,0.82,0.26,0.79,0.51,0.74,0.41,0.14,0.88,0.2,0.018,0.7,0.36,0.73,0.0045,0.85,0.63,0.0077,0.77,0.27,0.91,0.17,0.082,0.019,1,0.077,0.33,0.51,0.052,0.25,0.78,0.16
"SLC25A16",0.5,0.6,0.089,0.74,0.35,0.3,0.23,0.6,0.56,0.34,0.036,0.64,0.47,0.59,0.12,0.61,0.7,0.87,0.46,0.69,0.9,0.07,0.03,0.77,0.88,0.25,0.58,0.29,0.65,0.52,0.014,0.68,0.46
"SLC25A17",0.01,0.49,0.037,0.051,0.94,0.082,0.9,0.33,0.43,0.16,0.33,1,0.91,0.51,0.66,0.00073,0.012,0.27,0.87,0.16,0.37,0.97,0.57,0.97,0.0053,0.064,0.15,0.47,0.98,0.027,0.052,0.058,0.077
"SLC25A18",0.0019,0.47,0.71,0.037,0.65,0.051,0.19,0.34,0.75,0.42,0.25,0.72,0.11,0.78,0.13,0.52,0.054,0.36,0.15,0.065,0.019,0.017,0.38,0.48,0.68,0.35,0.096,0.44,0.74,0.049,0.72,0.84,0.032
"SLC25A19",1,0.91,0.91,0.24,0.85,0.69,0.3,0.089,0.77,0.93,0.17,0.11,0.77,0.62,1,0.0013,0.92,0.45,0.019,0.8,0.27,0.89,0.14,0.61,0.69,0.3,0.59,0.33,0.52,0.96,0.0019,0.75,0.0014
"SLC25A1P1",1,0.57,1,1,0.17,1,0.9,0.0025,1,0.99,0.69,0.015,0.29,0.061,1,1,0.6,1,0.063,1,0.32,1,1,1,0.96,0.44,0.73,0.7,1,0.066,0.95,1,1
"SLC25A1P3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.69,1,1,1,1,1
"SLC25A1P5",1,1,0.14,1,0.6,0.57,0.56,0.52,0.62,1,0.69,0.56,0.81,0.34,0.81,1,1,0.65,0.42,0.11,0.26,0.9,0.11,0.92,1,0.25,0.79,1,0.64,0.62,1,0.95,1
"SLC25A2",0.18,0.8,0.68,0.65,0.24,0.12,0.43,0.92,0.22,0.18,0.98,0.00058,0.23,0.35,0.48,1,0.66,0.6,0.32,0.74,0.47,0.13,0.88,0.98,0.41,1,0.47,0.71,0.55,0.96,0.96,0.82,1
"SLC25A20",0.032,0.27,0.91,0.85,0.73,0.98,0.6,0.57,0.26,0.14,0.058,0.002,0.093,0.081,0.0018,0.23,0.15,0.75,0.6,0.63,0.044,0.27,0.44,0.72,0.025,0.058,0.42,0.98,0.24,0.29,0.28,0.93,0.24
"SLC25A21",0.45,0.11,0.2,0.75,0.1,0.7,0.74,0.095,0.11,0.13,0.8,0.0033,0.31,0.063,0.012,0.12,0.54,0.29,0.34,0.22,0.82,0.53,0.17,0.0014,0.53,0.87,0.14,0.088,0.77,0.21,0.84,0.08,1
"SLC25A22",0.043,0.3,0.7,0.89,0.52,0.094,0.35,0.83,0.22,0.99,0.99,0.15,0.56,0.04,0.56,0.0092,0.84,0.53,0.21,0.16,0.27,0.9,0.11,0.92,0.0032,0.49,0.43,0.54,0.42,0.39,0.86,0.59,0.036
"SLC25A23",0.044,0.46,0.24,0.0067,0.7,0.45,0.21,0.15,0.075,0.2,0.36,1,0.077,0.47,0.05,0.71,0.14,0.44,0.16,0.44,0.82,0.47,0.59,0.16,0.16,0.022,0.91,0.33,0.97,0.33,0.068,0.56,0.18
"SLC25A24",0.39,0.3,0.48,0.16,0.24,0.015,0.71,0.58,0.33,0.99,0.26,1,0.91,0.33,1,0.031,0.094,0.61,0.24,0.25,0.031,0.98,0.38,0.091,0.021,0.77,0.94,0.95,0.39,0.77,0.6,0.11,0.71
"SLC25A24P1",1,0.99,0.13,1,1,0.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43,1,0.57,1,0.39,1,1,1,0.18,1
"SLC25A25",0.0012,0.11,0.53,0.27,0.88,0.46,0.45,0.36,0.43,0.75,0.057,0.0073,0.62,0.077,0.012,1,0.51,0.21,0.85,0.24,0.34,0.3,0.19,0.84,0.45,0.26,0.66,0.46,0.096,0.31,0.76,0.62,0.7
"SLC25A26",0.4,0.57,0.57,0.6,1,0.14,0.67,0.33,0.073,0.044,0.12,0.0023,0.16,0.92,0.56,0.32,0.97,0.49,0.78,0.72,0.89,0.15,0.7,0.12,0.63,0.47,0.84,0.75,0.32,0.3,0.29,0.82,1
"SLC25A27",0.53,0.54,0.31,0.76,0.1,0.71,0.47,0.76,0.86,0.57,0.87,0.034,0.35,0.56,0.046,0.75,0.15,0.75,0.92,0.22,0.079,0.065,0.1,0.023,0.34,0.27,0.82,0.46,0.7,0.31,0.22,0.54,0.37
"SLC25A28",0.00059,0.15,0.17,0.00039,0.75,0.035,0.51,0.26,0.59,0.078,0.38,0.86,0.26,0.11,0.00094,0.35,0.89,0.35,0.26,0.34,0.46,0.11,0.24,0.86,0.0011,0.27,0.68,0.77,0.21,0.027,0.52,0.059,0.014
"SLC25A29",0.046,0.027,0.051,0.068,0.17,0.54,0.42,0.29,0.76,0.074,0.68,0.044,0.42,0.45,0.9,0.51,0.33,0.3,0.13,0.93,0.072,0.13,0.0099,0.36,0.6,0.42,0.055,0.48,0.35,0.22,0.089,0.6,0.052
"SLC25A3",0.27,0.88,0.26,0.53,0.57,0.19,0.24,0.24,0.24,0.39,0.3,0.34,0.16,0.53,0.13,0.0032,0.035,0.1,0.8,0.085,0.82,0.46,0.83,0.21,0.5,1,0.34,0.53,0.08,0.16,0.12,0.2,0.28
"SLC25A30",0.22,0.023,0.52,0.49,0.8,0.91,0.84,0.93,0.9,0.19,0.36,1,0.25,0.3,1,0.32,0.57,0.46,0.74,0.018,0.67,0.39,0.66,0.99,0.45,1,0.38,0.57,0.19,0.62,0.16,0.89,0.031
"SLC25A31",1,1,1,1,1,1,1,0.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47,0.95,1,1,1,1
"SLC25A32",0.12,0.031,0.0033,0.57,0.08,1,0.7,0.71,0.092,0.033,0.011,0.33,0.0038,0.026,0.18,0.27,0.011,0.33,0.013,0.069,0.64,0.42,0.18,0.38,0.028,0.37,0.54,0.31,0.68,0.47,0.96,0.44,0.023
"SLC25A33",0.011,0.85,0.22,0.11,0.93,0.43,0.43,0.21,0.076,0.16,0.21,0.0081,0.84,0.77,0.073,0.96,0.025,0.15,0.016,0.89,0.86,0.34,0.45,0.96,0.069,0.58,0.19,0.31,0.15,0.83,0.093,0.87,0.98
"SLC25A34",0.27,0.013,0.47,0.52,0.7,0.82,0.45,0.58,0.83,0.019,0.26,0.015,0.096,0.96,0.96,0.17,0.079,0.44,0.66,0.26,0.044,0.69,0.28,0.87,0.18,0.29,0.89,0.45,0.37,0.55,0.39,0.92,0.1
"SLC25A35",0.05,0.052,0.57,0.0077,0.44,0.69,0.42,0.21,0.23,0.34,0.71,0.14,0.041,0.15,0.0022,0.42,0.43,0.88,0.28,0.91,0.039,0.82,0.4,0.79,0.63,0.41,0.25,0.99,0.41,0.32,0.57,0.77,0.66
"SLC25A36",0.072,0.62,0.29,0.64,0.03,0.64,0.63,0.93,0.51,0.97,0.082,0.029,0.82,0.82,0.32,0.64,0.9,0.17,0.14,0.52,0.28,0.41,0.095,0.01,0.16,0.63,0.46,0.48,0.2,0.18,0.67,0.78,0.98
"SLC25A36P1",1,1,0.36,1,1,1,1,1,0.94,1,0.67,0.06,1,0.62,0.0016,1,1,1,0.53,0.55,1,0.48,0.014,1,1,1,1,0.4,0.92,0.55,1,1,1
"SLC25A37",0.3,0.98,0.017,0.15,0.52,0.79,0.15,0.3,0.61,0.75,0.7,0.0015,0.75,0.22,1,0.53,0.87,0.31,0.012,0.64,0.35,0.71,0.35,0.051,0.087,0.5,0.97,0.73,0.3,0.14,0.48,0.55,0.13
"SLC25A38",0.53,0.15,0.3,0.73,0.94,0.32,0.19,0.31,0.092,0.81,0.053,0.0044,0.58,0.54,0.14,0.58,0.3,0.73,0.42,0.99,0.58,0.77,0.28,0.19,0.77,0.065,0.77,0.9,0.17,0.046,0.23,0.79,1
"SLC25A38P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1,1,1,0.96,1,1,1,1,1,1
"SLC25A39",0.003,0.34,0.37,0.82,0.38,0.41,0.66,0.44,0.022,0.00092,0.83,0.021,0.4,0.98,1,0.00057,0.76,0.099,0.00061,0.76,0.74,0.96,0.73,0.64,0.15,0.0037,0.67,0.53,0.89,0.056,0.93,0.038,0.076
"SLC25A39P1",1,1,1,1,1,1,1,0.086,1,1,1,1,1,0.32,1,1,1,1,1,0.81,1,1,1,1,1,1,0.77,1,1,1,1,1,1
"SLC25A39P2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.44,1,1,1,1,1
"SLC25A3P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13,1,1,1,1,1,1,1,0.74,0.51,1,1,1,1
"SLC25A3P2",1,1,1,1,1,1,1,0.91,1,1,0.34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02,1,1,1
"SLC25A4",0.09,0.96,0.072,0.31,0.3,0.014,0.83,0.25,0.33,0.38,0.24,1,0.00068,0.013,0.69,0.7,0.54,0.2,1,0.5,0.037,0.12,0.33,0.041,0.42,0.26,0.98,0.72,0.53,0.38,0.079,0.56,0.31
"SLC25A40",0.074,0.25,0.8,0.21,0.78,0.38,0.4,0.67,0.69,0.068,0.063,0.00019,0.84,0.14,0.014,0.086,0.16,0.27,0.22,0.28,0.035,0.074,0.077,0.34,0.44,0.13,0.93,0.43,0.29,0.24,0.96,0.66,0.53
"SLC25A41",0.17,0.6,0.59,0.059,0.43,0.27,0.78,0.65,0.83,0.0034,1,0.24,0.6,0.64,0.062,0.017,0.66,0.86,0.27,0.91,0.079,0.038,0.068,0.67,0.88,0.35,0.98,0.25,0.72,0.41,0.86,0.49,0.21
"SLC25A42",0.26,0.6,0.47,0.064,0.71,0.95,0.67,0.67,0.53,0.036,0.28,1,0.046,0.18,0.4,0.14,1,0.43,0.01,0.97,0.036,0.62,0.76,0.36,0.34,0.3,0.82,0.95,0.77,0.15,0.054,0.28,0.0034
"SLC25A43",0.015,0.11,0.028,0.72,0.24,0.65,0.27,0.92,0.0073,0.32,0.072,0.014,0.092,0.78,1,0.033,0.11,0.79,0.85,0.25,0.042,0.78,0.8,0.23,0.24,0.5,0.49,0.98,0.39,0.93,0.089,0.16,0.9
"SLC25A44",0.0023,0.29,0.2,0.97,0.44,0.5,0.86,0.11,0.3,0.37,0.058,0.00018,0.64,0.47,0.63,0.67,0.31,0.62,0.07,0.89,0.16,0.09,0.31,0.63,0.42,0.23,0.41,0.81,0.57,0.61,0.64,0.9,0.47
"SLC25A45",0.5,0.52,0.7,0.007,0.97,0.14,0.41,0.95,0.061,1,0.91,0.56,0.055,0.0033,1,0.032,0.056,0.35,0.95,0.054,0.013,0.075,0.97,0.84,0.22,0.081,0.34,0.18,0.49,0.13,0.12,0.89,0.0034
"SLC25A46",0.41,0.41,0.54,0.88,0.23,0.41,0.25,0.26,0.075,0.29,0.073,1,0.72,0.9,0.62,0.92,0.54,0.71,0.082,0.43,0.19,0.99,0.76,0.024,0.4,0.65,0.95,0.32,0.021,0.77,0.45,0.4,0.71
"SLC25A47",0.05,0.47,0.021,0.46,0.096,0.99,1,0.13,0.56,0.12,0.75,0.56,0.62,0.89,0.67,0.48,0.13,0.89,0.95,0.34,0.35,0.12,0.88,0.94,0.34,0.81,0.25,0.99,0.01,0.041,0.85,0.93,0.031
"SLC25A47P1",1,1,1,1,1,1,0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17,1,1,1,1
"SLC25A48",0.65,0.92,0.49,0.17,0.29,0.61,1,0.75,0.1,0.16,0.88,1,0.00077,1,1,0.3,0.4,0.67,0.69,0.61,0.081,1,0.27,0.35,0.32,0.043,0.7,0.3,0.68,0.2,0.56,0.93,1
"SLC25A5",0.81,0.98,0.0019,0.0095,0.5,0.11,0.41,0.0088,0.5,0.061,0.7,0.0012,0.8,0.36,0.8,0.31,0.27,0.86,0.33,0.26,0.35,0.13,0.34,0.77,0.28,0.016,0.019,0.55,0.1,0.045,0.73,0.071,0.17
"SLC25A51",0.00032,0.097,0.74,0.26,0.72,0.89,0.27,0.6,0.63,0.1,0.29,0.0015,0.34,0.12,0.3,0.026,0.84,0.93,0.56,0.47,0.045,0.34,0.05,0.6,0.76,0.14,0.43,0.76,0.0082,0.23,0.28,0.7,0.06
"SLC25A52",0.96,1,0.92,0.57,1,1,1,0.49,0.61,0.4,0.059,0.066,0.55,0.93,0.69,0.68,0.98,0.43,0.78,0.0075,0.011,1,0.52,1,1,0.14,0.86,0.084,0.42,0.48,1,0.22,1
"SLC25A53",0.59,0.55,0.35,0.026,0.14,0.066,0.19,0.69,0.92,0.42,0.096,0.0052,0.75,0.73,0.076,0.053,0.56,0.25,0.45,0.34,0.01,0.7,0.94,0.53,0.11,0.74,0.29,0.48,0.52,0.69,0.14,0.12,0.025
"SLC25A5P1",0.012,0.0051,0.5,0.24,0.91,0.26,0.27,0.55,0.05,0.31,0.84,0.19,0.52,0.46,0.51,0.053,0.11,0.94,0.37,0.93,0.39,0.25,0.28,0.12,0.29,0.0058,0.54,0.5,0.35,0.46,0.32,0.58,0.77
"SLC25A5P3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SLC25A5P5",1,0.24,1,0.66,1,0.28,1,0.67,1,0.39,1,1,1,1,1,1,0.11,0.075,1,0.058,1,1,1,0.73,1,1,0.076,0.93,1,0.2,0.94,0.76,1
"SLC25A5P6",1,1,1,1,1,1,1,1,1,1,0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SLC25A6",0.13,0.29,0.52,0.35,0.96,0.028,0.65,0.5,0.34,0.75,0.69,0.02,0.86,0.046,0.37,0.12,0.44,0.95,0.076,0.67,0.052,0.51,0.49,0.12,0.82,0.24,0.96,0.81,0.35,0.44,0.074,0.87,0.0097
"SLC25A6P3",1,1,1,1,1,1,1,0.92,1,1,1,1,1,0.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SLC25A6P4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,0.13,1,1,1,1,1,1,1,1,1,1,1,1,1
"SLC25A6P5",1,1,1,1,1,1,1,0.7,1,1,1,1,1,0.083,1,1,1,0.45,1,1,1,1,1,1,1,1,0.42,1,1,0.56,1,1,1
